ticker,company,score,tier,avg_dollar_vol_20d,price,vsSMA50,vsSMA200,RSI14,ATR%,r60,vol_vs20,drawdown%,tags,reason
AIR,AAR,15.718784549657737,75.82,2.57,14.73,59,2.98,17.55,-28.94,-10.9,small,27487024.49,pullback_protect;stall_risk;setup_protect,below_cutoff
BC,Brunswick,15.691774083901421,65.2,9.73,8.58,72,3.09,23.61,-12.78,-22.36,small,54427327.45,RS_trend_protect,below_cutoff
IAG.TO,iA Financial Corp,15.67937316459244,148.34,3.19,10.61,66,1.73,6.54,-20.52,-1.8,small,77114547.1,pullback_protect;stall_risk,below_cutoff
CGY.TO,Calian Group,15.656442797713266,51.66,4.73,11.98,57,2.63,29.74,124.41,-1.57,small,1284525.9,RS_trend_protect;breakout_protect;pullback_protect,below_cutoff
AFG,American Financial Group,15.633601845759909,136.09,6.84,6.69,69,1.57,9.97,40.21,-5.51,small,62751097.31,breakout_protect;pullback_protect,below_cutoff
KEY,KeyCorp,15.625353783981998,19.39,7.94,15.34,81,1.79,20.96,-14.55,0.0,large,548532709.08,RS_trend_protect;breakout_protect,below_cutoff
KC,Kingsoft Cloud,15.61575396960558,14.12,3.86,10.75,50,4.52,26.86,-19.51,-32.15,small,22881177.41,RS_trend_protect;pullback_protect;setup_protect,below_cutoff
JKS,JinkoSolar,15.612047237524585,22.5,0.75,9.61,53,4.26,28.3,60.3,-26.94,small,9986962.5,RS_trend_protect;pullback_protect,below_cutoff
LU,Lufax,15.60890853092559,3.02,6.05,9.79,62,3.28,4.86,-0.96,-27.23,small,5040923.57,setup_protect,below_cutoff
WFC,Wells Fargo & Co,15.591906784741592,82.5,3.79,11.44,70,1.92,9.7,13.89,-1.58,large,1127500275.0,breakout_protect;pullback_protect,below_cutoff
AFN.TO,Ag Growth International,15.577408534273628,43.31,2.77,5.55,57,2.25,13.11,-18.22,-21.76,small,2642776.28,breakout_protect;pullback_protect;setup_protect,below_cutoff
OHI,Omega Healthcare Investors,15.542376182204693,42.63,10.9,15.75,80,1.28,16.83,-0.74,0.0,small,96073954.51,breakout_protect,below_cutoff
APEI,American Public Education,15.540345617668352,30.64,2.39,24.33,59,4.08,5.15,90.98,-3.4,small,7941581.44,pullback_protect,below_cutoff
HOV,Hovnanian Enterprises,15.512047933835456,139.73,13.53,13.24,55,6.89,52.66,-59.78,-39.05,small,17820465.01,RS_trend_protect;stall_risk,below_cutoff
AOS,A O Smith,15.511741817153329,72.42,4.4,6.81,59,1.65,13.7,2.89,-18.49,small,78264292.02,pullback_protect;stall_risk;setup_protect,below_cutoff
APPF,Appfolio,15.510727582487867,276.27,6.97,16.71,28,2.82,26.64,-35.05,-14.0,small,121480058.22,RS_trend_protect,below_cutoff
VOXR.TO,Vox Royalty,15.491378210817361,5.04,10.82,24.42,65,2.65,3.69,147.26,0.0,small,34448.4,breakout_protect,below_cutoff
BKD,Brookdale Senior Living,15.480081634513791,7.84,6.28,27.56,76,2.62,18.79,-40.78,-1.38,small,23029726.05,,below_cutoff
ADT,ADT,15.449074361959093,8.76,3.3,11.69,61,1.79,2.67,-11.75,-0.79,small,92046666.01,setup_protect,below_cutoff
OMDA,Omada Health,15.442106890970573,23.32,25.57,nan,78,5.47,,23.75,0.0,small,10337872.46,breakout_protect;overheat_L1;probe_ok_L1,below_cutoff
TRIP,TripAdvisor,15.436537185652119,17.11,3.51,14.02,58,4.25,21.87,-36.6,-7.06,small,53134935.8,RS_trend_protect;pullback_protect;stall_risk;setup_protect,below_cutoff
OLA.TO,Orla Mining,15.431854139967374,14.76,2.66,25.22,55,4.34,-3.84,-51.21,-13.89,small,11504017.98,stall_risk;setup_protect,below_cutoff
ENI.MI,Eni,15.418416063397494,15.22,5.2,13.42,73,0.89,15.53,-30.36,-0.14,small,146308615.2,,below_cutoff
GPI,Group 1 Automotive,15.414487521138247,477.04,8.16,11.16,78,2.45,11.07,30.02,-1.23,small,69416476.84,breakout_protect,below_cutoff
FIBK,First Interstate BancSystem,15.412563361307246,32.2,9.42,10.43,82,2.07,20.45,-31.63,-4.74,small,26100515.62,RS_trend_protect;breakout_protect,below_cutoff
