ticker,company,score,tier,avg_dollar_vol_20d,price,vsSMA50,vsSMA200,RSI14,ATR%,r60,vol_vs20,drawdown%,tags,reason
PTCT,PTC Therapeutics,9.113464377628887,49.78,1.98,3.57,48,4.81,-1.8,-42.83,-12.93,small,66952853.86,setup_protect,below_cutoff
CRRX.TO,CareRx,9.087646968562368,3.0,2.75,16.94,65,2.0,6.76,-90.17,-0.66,small,228975.0,pullback_protect;low_liquidity_today;stall_risk,below_cutoff
WSBC,WesBanco,9.063212725367652,32.89,4.01,3.13,79,1.96,7.86,-40.72,-9.18,small,15794599.96,breakout_protect,below_cutoff
LAD,Lithia Motors,9.040709961001896,339.98,6.52,2.7,78,2.38,6.42,45.05,-13.3,small,111617137.51,breakout_protect,below_cutoff
GRVY,Gravity,9.027503155439073,64.39,1.04,3.15,52,3.56,0.12,-35.95,-5.75,small,944923.24,setup_protect,below_cutoff
FBRT,Franklin BSP Realty Trust,9.000423528251991,11.35,5.35,-0.66,67,1.42,7.3,2.99,-11.02,small,6592477.47,breakout_protect;pullback_protect,below_cutoff
BRC,Brady,8.973059481863292,77.45,10.07,8.55,77,1.65,10.38,39.24,0.0,small,11419227.55,breakout_protect,below_cutoff
BYD.TO,Boyd Group Services,8.95278692661856,223.85,7.42,4.19,90,2.48,11.37,-41.69,-8.21,small,10941788.3,,below_cutoff
GMRE,Global Medical REIT,8.927086422215227,7.54,9.48,2.23,76,2.99,22.19,-24.79,-18.31,small,5826572.67,RS_trend_protect;breakout_protect,below_cutoff
UHT,Universal Health Realty Income Trust,8.874063099048826,40.79,1.64,5.57,73,1.64,1.99,-4.4,-7.33,small,2862846.21,breakout_protect,below_cutoff
SNA,Snap-on,8.849762957873951,330.21,3.37,0.56,61,1.63,3.53,-17.72,-9.33,small,80510149.07,setup_protect,below_cutoff
COP,ConocoPhillips,8.838130713018318,97.9,4.89,3.06,75,1.97,12.28,-18.24,-11.91,large,689650686.75,,below_cutoff
COFB.BR,Cofinimmo,8.80756457456658,76.45,-0.02,22.54,45,1.23,-0.46,-15.88,-3.17,small,2937522.33,setup_protect,below_cutoff
SPTN,SpartanNash,8.760063929967906,26.8,2.94,30.07,77,0.36,44.22,-23.54,0.0,small,20655429.41,RS_trend_protect;breakout_protect,below_cutoff
BYFC,Broadway Financial,8.758179843116622,7.78,2.79,8.75,46,1.49,23.49,-71.71,-12.88,small,46757.8,RS_trend_protect;pullback_protect;low_liquidity_today,below_cutoff
PANL,Pangaea Logistics Solutions,8.745402162917403,5.43,8.47,9.7,76,3.44,20.13,50.42,-23.2,small,1319082.71,RS_trend_protect;breakout_protect,below_cutoff
CRNC,Cerence,8.701789745113892,10.48,7.16,8.76,58,7.99,3.15,-65.27,-48.07,small,28753607.94,low_liquidity_today;stall_risk,below_cutoff
INVA,Innoviva,8.693137690304981,19.84,1.02,5.55,65,2.75,-3.69,-21.36,-8.99,small,16288044.93,stall_risk,below_cutoff
IKNA,ImageneBio,8.665164145949365,17.16,9.87,-0.45,57,5.85,12.6,-4.62,-22.7,small,618243.91,breakout_protect;pullback_protect;setup_protect,below_cutoff
MKL,Markel Group,8.65230296988925,1958.24,-0.88,5.43,62,1.43,0.02,-22.65,-4.93,small,94426332.33,setup_protect,below_cutoff
BUR,Burford Capital,8.644717149896229,13.76,3.42,1.96,63,3.07,6.83,-3.09,-11.37,small,19671433.93,pullback_protect,below_cutoff
RBRK,Rubrik,8.614550301635314,87.53,-0.23,19.01,46,4.02,-10.75,-26.2,-12.24,large,231905917.62,setup_protect,below_cutoff
ISRL,Israel Acquisitions,8.613736863241181,12.63,0.36,6.15,51,1.77,-2.09,-59.03,-5.96,small,33911.55,setup_protect,below_cutoff
XPEL,XPEL,8.61034811327743,37.5,4.22,1.6,61,3.64,1.08,-57.46,-19.39,small,8180062.5,stall_risk;setup_protect,below_cutoff
MQBKY,Macquarie,8.599381324812533,147.01,2.5,7.24,86,2.26,5.35,-10.76,-6.46,small,1927301.03,,below_cutoff
GSK,GSK,8.582404121998625,39.91,4.92,10.08,80,1.27,-0.27,12.24,-5.7,small,133616883.54,,below_cutoff
MBX,MBX Biosciences,8.580122971815204,14.31,12.53,12.42,65,9.89,4.76,-38.21,-44.92,small,5614170.91,stall_risk,below_cutoff
DD,DuPont de Nemours,8.542873698413736,77.83,6.81,5.79,80,1.8,15.41,-48.44,-11.72,large,242556422.41,breakout_protect,below_cutoff
CGX.TO,Cineplex,8.530671200819071,11.75,5.51,8.33,81,2.86,-0.09,-34.9,-9.27,small,4656995.0,breakout_protect,below_cutoff
NC,NACCO Industries,8.529540669484224,39.26,-0.24,14.42,64,2.93,5.79,-0.49,-11.4,small,240663.79,breakout_protect,below_cutoff
IAS,Integral Ad Science,8.472995688981094,9.04,7.46,-0.88,66,3.73,13.28,-29.71,-28.93,small,7986794.77,pullback_protect;stall_risk,below_cutoff
BIRK,Birkenstock,8.472617625862474,52.13,4.38,1.02,64,2.8,-5.56,-19.26,-16.46,small,103937317.43,,below_cutoff
DRH,DiamondRock Hospitality,8.448507516501627,8.59,8.61,6.64,76,2.37,13.75,-3.28,-7.65,small,23838109.42,breakout_protect,below_cutoff
XTC.TO,Exco Technologies,8.357851083014046,6.94,2.71,3.86,64,2.23,4.68,-1.19,-17.19,small,174888.0,breakout_protect,below_cutoff
CAS.TO,Cascades,8.338483744050274,9.91,7.0,-2.11,68,2.1,12.21,-22.4,-22.36,small,1872197.17,pullback_protect;stall_risk,below_cutoff
SEE,Sealed Air,8.334484026585312,32.19,3.86,1.52,69,2.57,0.75,-38.9,-12.41,small,53754883.46,stall_risk,below_cutoff
URBN,Urban Outfitters,8.322649683219236,78.01,5.33,31.78,51,2.94,7.6,105.31,-2.23,small,135169100.85,pullback_protect,below_cutoff
ABM,ABM Industries,8.317589611544305,49.63,4.76,-0.83,64,1.8,-5.34,-5.8,-13.95,small,20542353.74,breakout_protect,below_cutoff
SCCO,Southern Copper,8.31487595963886,96.21,-0.21,4.09,51,2.28,5.92,-37.36,-16.16,small,108141717.84,setup_protect,below_cutoff
ROCK,Gibraltar Industries,8.311714085113717,64.58,3.34,4.2,63,3.15,9.18,-29.75,-12.77,small,16344552.66,pullback_protect;stall_risk,below_cutoff
TRN,Trinity Industries,8.308114272776395,28.79,6.67,-3.82,62,2.18,12.59,-51.28,-25.34,small,24637619.08,pullback_protect;stall_risk,below_cutoff
RCH.TO,Richelieu Hardware,8.302645773497776,37.0,3.96,2.57,70,2.33,5.09,-33.97,-12.72,small,2039625.0,pullback_protect;stall_risk,below_cutoff
DIV.TO,Diversified Royalty,8.297240651928117,3.45,5.66,19.7,68,1.4,18.99,-27.62,0.0,small,864673.51,breakout_protect;pullback_protect;stall_risk,below_cutoff
APD,Air Products and Chemicals,8.297123671302485,294.59,1.9,0.69,58,1.53,4.65,-37.64,-11.77,large,256639440.06,stall_risk;setup_protect,below_cutoff
MELE.BR,Melexis,8.28037971034346,67.7,-3.09,15.01,60,1.82,3.36,-51.58,-11.22,small,1862345.68,setup_protect,below_cutoff
MO,Altria,8.2694042974627,66.41,7.94,18.22,72,1.35,11.91,-35.88,-1.88,large,514985338.75,,below_cutoff
DSCSY,Disco,8.261397299717933,27.69,-1.81,7.58,54,2.52,21.71,-5.8,-18.34,small,1910748.49,RS_trend_protect;setup_protect,below_cutoff
CXM,Sprinklr,8.25036856661442,8.66,0.43,2.29,54,3.21,1.29,-5.57,-8.07,small,13706831.26,setup_protect,below_cutoff
SELF,Global Self Storage,8.215549754649548,5.39,2.04,4.93,55,2.68,-4.19,0.09,-5.18,small,187949.3,breakout_protect;setup_protect,below_cutoff
PKX,POSCO,8.17091989820283,53.52,-1.57,10.7,48,1.33,19.3,-10.69,-25.01,small,5369661.65,setup_protect,below_cutoff
AEE,Ameren,8.164274686546822,100.91,2.18,5.8,42,1.27,4.46,-21.79,-2.28,small,147529920.8,,below_cutoff
NTGR,NETGEAR,8.157447663472707,27.12,1.16,2.9,68,3.18,-10.05,-61.36,-13.22,small,15688378.09,low_liquidity_today;stall_risk,below_cutoff
LPX,Louisiana-Pacific,8.116511704337045,96.17,5.26,-1.9,55,3.44,5.79,-15.59,-19.35,small,100540443.74,pullback_protect;stall_risk;setup_protect,below_cutoff
MTL.TO,Mullen Group,8.116382695038205,13.87,0.64,1.4,68,1.29,-0.48,-41.32,-8.27,small,2651943.98,stall_risk,below_cutoff
OGE,OGE Energy,8.10597957926146,45.27,1.34,4.68,44,1.34,3.31,5.2,-1.37,small,43182148.04,,below_cutoff
IIIL.L,3i Group,8.068587821304119,4097.0,-0.76,4.46,58,1.44,0.6,-22.37,-6.01,large,894447412.05,setup_protect,below_cutoff
XOM,Exxon Mobil,8.062255617641107,112.75,3.1,4.31,87,1.39,9.63,-3.47,-6.81,large,1782438253.75,,below_cutoff
AA,Alcoa,8.061565445307483,31.8,5.71,-2.72,60,3.27,15.36,-28.09,-32.26,small,163495085.08,pullback_protect;stall_risk,below_cutoff
NOS.LS,NOS,8.053448406224652,3.91,3.34,9.28,77,1.11,0.77,-40.91,-5.54,small,2403803.32,,below_cutoff
SPGI,S&P Global,8.05137559192977,549.87,2.66,7.6,41,1.37,7.52,-20.48,-2.36,large,691326800.71,,below_cutoff
SMA,Smartstop Self Storage,8.042098153886394,36.49,1.99,nan,65,2.53,0.26,-49.58,-1.61,small,22357241.58,stall_risk,below_cutoff
EBC,Eastern Bankshares,7.996340723971666,17.11,9.1,4.82,79,1.97,14.37,37.37,-9.25,small,21826372.28,breakout_protect,below_cutoff
MDV,Modiv,7.991680021091687,15.19,4.38,3.58,61,2.71,9.29,-54.99,-9.62,small,631068.53,pullback_protect;stall_risk;setup_protect,below_cutoff
ALMS,Alumis,7.984732950386164,4.92,28.37,-14.02,65,6.32,42.61,-8.52,-62.15,small,3331750.25,breakout_protect,below_cutoff
VRSN,VeriSign,7.948934561145305,272.37,-2.09,11.9,49,1.76,-0.94,-31.25,-10.73,large,259341176.4,setup_protect,below_cutoff
COHU,Cohu,7.936307538031963,20.29,3.47,-0.76,56,3.98,12.35,53.9,-28.98,small,8357045.58,pullback_protect,below_cutoff
TDY,Teledyne Technologies,7.933269058572872,541.29,1.37,8.91,44,1.45,8.53,-39.21,-3.97,small,159198795.44,,below_cutoff
KURA,Kura Oncology,7.913194239864811,7.86,23.66,1.34,75,5.52,22.43,-7.49,-62.71,small,14441492.65,RS_trend_protect;breakout_protect,below_cutoff
TRVI,Trevi Therapeutics,7.868947898082439,8.0,16.35,47.5,67,5.38,34.45,430.43,0.0,small,14317360.0,RS_trend_protect;breakout_protect;stall_risk,below_cutoff
HMC,Honda Motor,7.850185573838715,33.88,7.48,18.04,71,0.85,12.63,-8.19,-2.11,small,29732750.14,,below_cutoff
GECC,Great Elm Capital,7.819842093868152,11.25,2.95,11.24,82,0.77,10.07,31.11,0.0,small,486506.25,breakout_protect,below_cutoff
KBL.TO,K-Bro Linen,7.786426112039132,36.51,4.38,3.84,69,2.06,4.47,-63.77,-6.68,small,1007858.5,low_liquidity_today;stall_risk,below_cutoff
NSC,Norfolk Southern,7.780682970566637,272.35,0.69,9.99,36,2.05,10.36,13.69,-4.62,large,604965621.56,,below_cutoff
VSCO,Victoria's Secret & Co,7.780534061206621,22.78,12.08,-14.59,59,3.88,12.38,72.91,-53.23,small,69723203.7,breakout_protect,below_cutoff
DTE,DTE Energy,7.779106605002374,138.41,1.58,7.14,42,1.22,2.93,-37.62,-2.18,small,155435818.21,,below_cutoff
SUZ,Suzano,7.773836780130234,9.8,3.62,1.55,42,1.66,9.74,-41.16,-9.68,small,16283778.32,,below_cutoff
PZA.TO,Pizza Pizza Royalty,7.764058064554341,16.42,5.39,19.08,67,1.1,12.9,27.39,0.0,small,552943.5,breakout_protect;pullback_protect;stall_risk,below_cutoff
AFL,Aflac,7.659573696796053,107.41,4.42,3.01,75,1.3,3.77,28.34,-4.83,large,297496172.39,,below_cutoff
SON,Sonoco Products,7.649312901358195,46.78,2.92,1.98,59,1.86,3.85,-23.4,-13.52,small,38992064.58,stall_risk;setup_protect,below_cutoff
BOH,Bank of Hawaii,7.633772266611424,68.71,3.4,0.02,75,1.89,3.31,-37.25,-12.14,small,27004060.29,breakout_protect,below_cutoff
SHOO,Steven Madden,7.632191641978615,29.38,14.5,-5.01,71,3.43,19.47,-12.39,-39.66,small,49039331.8,breakout_protect,below_cutoff
ALRM,Alarm.com,7.612721169771073,58.52,4.26,0.09,64,2.66,-0.51,-34.68,-14.95,small,23338068.78,stall_risk,below_cutoff
LMB,Limbach,7.602735037922612,125.89,-4.2,19.37,67,3.97,-6.73,-50.32,-15.81,small,32207697.44,,below_cutoff
DRM.TO,DREAM Unlimited,7.586297557579856,21.92,3.17,6.03,68,1.62,16.58,-68.54,-30.62,small,550411.2,pullback_protect;low_liquidity_today;stall_risk,below_cutoff
DBI,Designer Brands,7.572199494534741,3.79,28.38,-2.82,74,6.11,6.45,-35.33,-50.56,small,3676129.41,breakout_protect,below_cutoff
REFI,Chicago Atlantic Real Estate Finance,7.565566008073459,14.3,3.72,0.85,66,1.69,2.28,-27.35,-6.11,small,1454596.02,stall_risk,below_cutoff
CNP,CenterPoint Energy,7.557812690205411,37.73,1.57,8.76,34,1.29,1.35,-24.24,-3.1,small,161704741.24,,below_cutoff
BATRA,Atlanta Braves (Series A),7.555024163193578,47.29,-1.83,7.38,50,1.75,8.71,-50.71,-5.95,small,1554185.88,setup_protect,below_cutoff
EXC,Exelon,7.534505371934951,44.39,1.85,6.44,41,1.38,3.05,-3.72,-4.61,large,282109099.72,,below_cutoff
EDRY,EuroDry,7.50393775027862,10.62,4.24,-0.39,51,2.61,30.2,-50.0,-48.93,small,10618.0,pullback_protect;setup_protect,below_cutoff
AYA.TO,Aya Gold & Silver,7.48761825880611,12.9,1.98,7.25,51,3.7,-1.6,-44.87,-32.92,small,11891090.65,setup_protect,below_cutoff
ASX,ASE Technology,7.467167422205994,10.02,-1.05,4.47,53,1.55,9.5,-42.21,-8.63,small,70981182.24,setup_protect,below_cutoff
IS.TO,Infrastructure Dividend Split Corp,7.46451743865277,15.7,1.61,10.57,45,1.13,7.65,-72.13,-1.93,small,67588.5,pullback_protect;low_liquidity_today,below_cutoff
VIRT,Virtu Financial,7.417242116918105,42.73,-1.03,9.74,54,1.95,6.11,6.86,-5.3,small,35986991.96,setup_protect,below_cutoff
DEO,Diageo,7.397720112286108,112.03,6.15,0.51,60,1.25,4.13,-57.19,-19.21,small,169557963.3,stall_risk;setup_protect,below_cutoff
NVG.LS,Navigator,7.393073428577813,3.32,2.62,2.03,57,1.41,0.6,-38.56,-6.38,small,2873766.92,stall_risk;setup_protect,below_cutoff
SO,Southern,7.3818364479072525,93.28,0.74,6.61,41,1.25,4.94,-40.54,-2.06,large,484753300.06,,below_cutoff
EGP,EastGroup Properties,7.366264428119054,168.77,1.73,1.13,58,1.61,0.33,30.33,-9.06,small,58520155.13,setup_protect,below_cutoff
FC.TO,Firm Capital Mortgage Investment,7.361764626916897,12.16,0.39,4.69,68,1.02,0.06,-20.31,-1.37,small,642412.79,breakout_protect;stall_risk,below_cutoff
DV,DoubleVerify,7.358340216298475,16.26,6.16,-2.52,71,2.84,14.35,-52.74,-29.52,small,39436272.86,breakout_protect,below_cutoff
MOV,Movado,7.345230271612575,17.52,8.77,3.82,79,2.54,10.36,13.02,-22.71,small,2343825.66,breakout_protect,below_cutoff
EGY,VAALCO Energy,7.330156586756869,3.87,4.72,0.16,65,3.81,16.05,-8.63,-37.54,small,3303683.45,pullback_protect,below_cutoff
TTEK,Tetra Tech,7.251079405844818,36.98,1.01,3.88,48,2.06,5.61,26.14,-26.3,small,74133435.28,pullback_protect;setup_protect,below_cutoff
PKI.TO,Parkland,7.174764674354878,38.79,0.99,8.43,64,1.01,0.89,75.65,-2.4,small,17669233.32,,below_cutoff
KSPI,Kaspi.KZ,7.165857925914491,92.48,6.24,-0.91,52,2.82,12.02,-41.96,-28.25,small,33527238.02,pullback_protect;setup_protect,below_cutoff
FUL,HB Fuller,7.151922273308454,61.66,4.21,2.33,72,2.09,11.76,-33.73,-26.94,small,21157704.05,,below_cutoff
APLE,Apple Hospitality REIT,7.140827260329335,13.17,9.03,0.83,76,2.08,14.88,16.92,-14.65,small,42246462.84,breakout_protect,below_cutoff
BL,Blackline,7.13530882698499,54.68,0.47,-0.61,66,2.45,-5.05,-32.44,-16.7,small,54894892.71,breakout_protect;stall_risk,below_cutoff
NBBK,NB Bancorp,7.113637392069776,19.0,5.75,4.71,77,2.47,13.08,-28.13,-8.9,small,3587580.0,,below_cutoff
GFF,Griffon,7.0928148401086135,78.08,2.99,6.17,77,2.38,13.21,-17.96,-7.84,small,43676391.42,,below_cutoff
BIDU,Baidu,7.080291813689584,89.86,2.05,2.27,55,2.03,7.3,5.19,-21.95,large,366830538.19,pullback_protect;setup_protect,below_cutoff
CNA,CNA Financial,7.0798200819988475,49.33,8.29,6.75,82,1.17,3.73,-23.83,-1.41,small,24163314.8,breakout_protect,below_cutoff
CPPTL,Copper Property CTL Pass Through,7.079032266784498,12.45,-0.1,6.14,50,0.38,6.82,58.22,-1.19,small,2899349.11,,below_cutoff
GFL.TO,GFL Environmental,7.075832662029108,68.43,1.44,3.35,41,1.72,1.04,-51.02,-3.86,small,29773550.98,,below_cutoff
BBNX,Beta Bionics,7.047886917070716,18.97,24.62,nan,70,6.59,5.62,-25.42,-20.33,small,12483492.6,breakout_protect;stall_risk,below_cutoff
AQN.TO,Algonquin Power & Utilities,7.020487711416315,8.01,0.28,12.34,44,1.75,-5.13,1.24,-5.13,small,17689164.36,,below_cutoff
AW.TO,A&W Food Services of Canada,7.008357762296113,37.95,-0.48,9.78,45,2.19,9.97,-8.52,-6.02,small,360904.51,setup_protect,below_cutoff
RGNX,Regenxbio,7.000701147250195,8.82,3.37,6.47,60,5.8,-12.93,-20.78,-31.89,small,6196093.89,stall_risk;setup_protect,below_cutoff
RGS,Regis,6.998529747645299,22.55,7.26,6.36,74,3.41,1.03,69.24,-19.03,small,167884.74,breakout_protect,below_cutoff
MSCI,MSCI,6.988949500887795,570.15,1.36,0.01,69,1.61,0.98,-48.45,-9.5,large,368211438.02,stall_risk,below_cutoff
MASS,908 Devices,6.967304233326783,6.3,-6.45,42.2,48,5.82,-4.83,-48.07,-20.95,small,1793169.05,,below_cutoff
CMTG,Claros Mortgage Trust,6.943663922739183,3.49,10.29,-3.92,55,5.34,28.78,-33.77,-58.79,small,2130941.66,pullback_protect;stall_risk,below_cutoff
VNET,Vnet,6.926278962433833,7.8,2.63,12.09,45,6.91,40.79,-48.51,-46.87,small,38330994.94,RS_trend_protect,below_cutoff
RWT,Redwood Trust,6.920783673277379,6.0,1.91,1.2,61,2.14,11.89,-36.98,-17.09,small,7454310.0,pullback_protect;stall_risk;setup_protect,below_cutoff
PDN.AX,Paladin Energy,6.912067784351776,7.22,1.1,2.95,63,3.29,11.84,-59.56,-44.55,small,22319927.77,pullback_protect;stall_risk,below_cutoff
IPG,Interpublic Group of Companies,6.904611647562787,26.92,6.95,3.6,76,1.93,16.74,29.55,-13.48,small,157683092.85,,below_cutoff
MSFT,Microsoft,6.872933328617079,506.74,0.06,15.16,37,1.42,9.63,-26.17,-5.24,large,11845247434.02,,below_cutoff
FOLD,Amicus Therapeutics,6.8636726805700405,7.64,18.52,-4.04,76,3.01,22.04,-53.38,-36.39,small,32776057.83,breakout_protect;overheat_L1;probe_ok_L1,below_cutoff
LBTYB,Liberty Global (Class B),6.856078204076782,11.7,11.65,3.14,55,0.76,25.94,-100.0,-46.58,small,11349.0,RS_trend_protect;pullback_protect;low_liquidity_today;stall_risk,below_cutoff
REG,Regency Centers,6.8422935675891186,72.47,2.0,1.48,50,1.34,2.29,-18.48,-4.96,small,89167451.85,setup_protect,below_cutoff
IEML.L,Impax Environmental Markets,6.825909177774947,45.5,0.78,6.62,55,0.59,2.76,-99.99,-0.61,small,5236806.58,low_liquidity_today;stall_risk,below_cutoff
LB.TO,Laurentian Bank of Canada,6.824867476187057,31.49,2.37,12.04,71,0.97,6.08,149.0,0.0,small,4376952.52,breakout_protect,below_cutoff
DVN,Devon Energy,6.798796456995848,35.56,6.64,5.66,78,2.37,11.87,3.18,-18.69,large,273113078.75,,below_cutoff
FACO,First Acceptance,6.792646505491016,3.55,5.97,6.56,60,1.61,10.25,-100.0,-8.97,small,13507.75,pullback_protect;low_liquidity_today;stall_risk,below_cutoff
BHC.TO,Bausch Health,6.777565431235718,10.02,9.43,7.59,70,5.7,59.3,-60.07,-26.59,small,5942912.37,RS_trend_protect;low_liquidity_today;stall_risk,below_cutoff
CANG,Cango,6.776956403573708,4.87,-0.27,9.11,49,4.39,-1.22,-56.25,-39.13,small,2207497.9,setup_protect,below_cutoff
AIP,Arteris,6.763323112732111,9.7,2.09,10.34,55,6.04,22.17,-84.23,-25.38,small,21014904.09,RS_trend_protect;pullback_protect;low_liquidity_today;stall_risk,below_cutoff
PAX,Patria Investments,6.7553385845436935,13.42,-1.35,11.91,45,2.13,6.58,20.56,-6.37,small,6624246.24,setup_protect,below_cutoff
TRIN,Trinity Capital,6.746942803472404,16.03,7.54,13.06,69,1.41,14.08,-28.37,-0.56,small,10750920.71,pullback_protect;stall_risk,below_cutoff
SWKS,Skyworks Solutions,6.74189479080667,76.2,4.73,4.01,78,2.48,8.28,-42.49,-27.79,large,202695039.88,,below_cutoff
SOY.TO,SunOpta,6.703985657691818,8.73,3.49,-1.62,58,3.44,6.2,-18.67,-23.08,small,658023.72,pullback_protect;setup_protect,below_cutoff
ALG,Alamo,6.685153664762919,217.54,-1.27,11.49,46,2.54,7.06,-17.49,-6.4,small,18456093.03,setup_protect,below_cutoff
AMPY,Amplify Energy,6.670978630161329,4.07,12.39,-6.35,68,4.95,21.49,-43.88,-43.63,small,2514242.61,stall_risk,below_cutoff
TREX,Trex,6.64103784540671,63.39,3.23,-0.22,55,3.44,14.26,20.28,-20.64,small,117161200.27,pullback_protect;stall_risk;setup_protect,below_cutoff
MEG.TO,MEG Energy Corp,6.638070792970762,28.11,5.71,16.72,86,2.04,12.92,111.72,-0.14,small,38910284.49,,below_cutoff
HIW,Highwoods Properties,6.614409938587409,30.81,3.35,6.74,76,1.96,3.42,13.74,-9.44,small,37279791.25,breakout_protect,below_cutoff
PCH,PotlatchDeltic,6.612948583861405,41.89,1.78,1.92,44,2.31,9.23,-6.03,-9.6,small,22738310.57,,below_cutoff
ELF.TO,E-L Financial,6.606998164125493,15.26,0.26,27.15,78,1.81,-8.94,-68.33,-14.91,small,534863.01,breakout_protect;low_liquidity_today,below_cutoff
DIS,Walt Disney,6.605571955861578,118.09,-0.77,8.18,70,1.52,4.4,-49.56,-4.77,large,1024192176.44,,below_cutoff
ZBRA,Zebra Technologies,6.585483925585645,321.43,0.61,-1.59,53,2.76,10.08,-45.45,-23.67,large,232861565.34,pullback_protect;setup_protect,below_cutoff
ALGM,Allegro MicroSystems,6.575390926187582,31.46,-5.28,21.02,55,3.25,17.48,23.23,-16.13,small,45374913.98,,below_cutoff
DY,Dycom Industries,6.569459624805699,255.63,-0.53,27.82,33,3.66,8.64,-13.51,-8.7,small,116718103.93,,below_cutoff
HOPE,Hope Bancorp,6.566135774948153,11.14,5.08,2.56,81,2.27,11.98,-46.07,-18.4,small,10264396.32,breakout_protect,below_cutoff
CPBI,Central Plains Bancshares,6.539144709177347,15.51,2.4,4.79,64,0.42,6.82,-74.39,-1.08,small,72664.35,pullback_protect;low_liquidity_today;stall_risk,below_cutoff
CTC.TO,Canadian Tire,6.534203815702007,250.0,-1.47,8.99,49,0.3,-3.92,-45.21,-8.12,small,91250.0,setup_protect,below_cutoff
FHTX,Foghorn Therapeutics,6.49956506716828,5.41,2.12,7.36,56,6.55,24.08,-56.46,-45.85,small,523146.99,RS_trend_protect;pullback_protect;stall_risk,below_cutoff
EMR,Emerson Electric,6.497365883908688,133.45,-2.41,8.48,54,1.54,11.29,-33.72,-10.46,large,507461629.15,setup_protect,below_cutoff
RCPL.L,RIT Capital Partners,6.454938052788236,1966.0,1.44,2.34,57,0.8,2.93,-65.72,-2.9,small,10885447.1,low_liquidity_today;stall_risk,below_cutoff
MZDAY,Mazda Motor,6.41688581418356,3.35,9.46,8.3,70,2.32,10.56,-80.33,-15.33,small,223143.49,pullback_protect;low_liquidity_today;stall_risk,below_cutoff
NWBI,Northwest Bancshares,6.407998790637622,12.73,2.53,2.72,77,1.75,5.74,-25.67,-11.32,small,12607664.25,breakout_protect,below_cutoff
COLB,Columbia Banking System,6.403508458645961,27.31,11.35,7.83,82,2.32,16.51,117.11,-11.18,small,75040914.48,breakout_protect,below_cutoff
PAGS,Pagseguro Digital,6.394845635892048,8.66,0.1,8.99,56,3.62,-3.8,166.74,-21.1,small,41592290.57,,below_cutoff
FBLA,FB Bancorp,6.380780428660032,11.97,3.58,3.93,69,1.35,10.12,16.52,-5.08,small,738608.87,breakout_protect;pullback_protect,below_cutoff
CMS,CMS Energy,6.359908540048747,72.21,1.37,4.08,35,1.28,2.57,-36.87,-2.94,small,173391371.9,,below_cutoff
STR.VI,Strabag,6.354165172902741,81.8,1.78,30.77,48,3.53,5.8,68.19,-10.41,small,2431738.22,pullback_protect,below_cutoff
PONY,Pony AI,6.348778984184911,14.53,5.33,nan,47,6.42,4.99,-43.59,-38.46,small,94972364.6,setup_protect,below_cutoff
RIVN,Rivian Automotive,6.337337122897149,13.22,1.81,2.51,70,3.64,-8.0,-12.83,-21.87,large,590466354.43,breakout_protect,below_cutoff
NVR,NVR,6.307826929345598,8033.82,4.25,3.84,56,2.28,13.65,-32.51,-19.05,small,133321239.98,pullback_protect;stall_risk;setup_protect,below_cutoff
FER.AS,Ferrovial,6.2941509621959835,46.9,3.36,10.75,74,0.9,5.99,-96.85,-1.62,small,32722.13,low_liquidity_today,below_cutoff
PEGA,Pegasystems,6.275195965026789,52.88,-0.89,12.74,47,2.98,5.8,-20.42,-12.44,small,73619537.49,setup_protect,below_cutoff
IVT,InvenTrust Properties,6.264685721939596,29.68,7.33,4.36,82,1.67,8.0,-12.79,-2.82,small,11584846.12,breakout_protect,below_cutoff
VFC,VF,6.231785669429394,14.94,19.8,-11.05,84,3.06,20.54,-5.89,-43.87,small,139679882.68,breakout_protect;overheat_L1;probe_ok_L1,below_cutoff
SRM,Tron,6.19481127320206,4.95,-35.64,109.42,13,13.25,783.93,-44.86,-55.16,small,11529980.85,RS_trend_protect,below_cutoff
FWONK,Liberty Media (Series C),6.180029074458482,99.82,-1.74,6.36,58,2.13,3.47,7.87,-5.18,small,112822053.76,setup_protect,below_cutoff
PVH,PVH,6.141291554429124,81.73,11.83,0.06,72,2.71,-0.94,179.31,-27.51,small,92918840.82,,below_cutoff
ASIC,Ategrity Specialty Holdings,6.139588634588095,23.37,10.07,nan,74,5.21,,-24.31,-5.31,small,2769578.8,breakout_protect,below_cutoff
WEC,WEC Energy,6.13431271980999,107.68,1.24,5.52,39,1.25,1.11,-17.01,-2.43,large,242425368.69,,below_cutoff
MBBC,Marathon Bancorp,6.092129476539778,10.33,2.56,7.54,82,0.65,3.82,-15.84,-8.21,small,41733.2,,below_cutoff
VST,Vistra,6.072303666299437,194.6,-0.11,23.16,37,3.85,10.71,-38.52,-9.09,large,842899223.44,,below_cutoff
FOX,Fox Corp (Class B),6.064050450715325,54.4,5.27,11.61,76,2.04,7.26,84.03,-0.44,small,61948273.74,,below_cutoff
DG,Dollar General,6.05663015470064,111.2,-0.64,23.71,35,2.22,-0.71,25.7,-8.75,large,319283547.24,,below_cutoff
MCK,McKesson,6.0521459301786855,683.51,-2.94,3.9,59,2.2,-4.39,2.31,-7.05,large,689487304.8,setup_protect,below_cutoff
