ticker,name,qs_score,tr_score,merged_score,merged_qs_score,merged_tr_score,probe_ok,probe_lvl,valuation_boost,val_PE,val_YoY,val_PEG,val_PE_trailing,val_PE_forward,tr_trend,tr_struct,tr_stability,tr_blowoff,tr_value,tr_valuation_boost,tr_final_score,merged_trend,merged_struct,merged_stability,merged_blowoff,merged_value,merged_valuation_boost,merged_final_score
GOOGL,Alphabet (Class A),89.12900055176007,56.68293990849085,79.79445506930816,89.12900055176007,56.68293990849085,False,0,2.0,29.581442,0.353,1.6398,29.581442,33.444195,1.487328212655365,0.0,2.0216,0.0,4.332704142857144,2.0,56.68293990849085,1.487328212655365,0.0,2.0216,0.0,4.332704142857144,2.0,81.79445506930816
LUN.TO,Lundin Mining,90.87812003982972,58.48017682496126,81.57966262867838,90.87812003982972,58.48017682496126,False,0,0.0,78.96774,0.462,,78.96774,24.0,1.693041419429155,0.0,3.3562,0.0,0.9999999999999999,0.0,58.48017682496126,1.693041419429155,0.0,3.3562,0.0,0.9999999999999999,0.0,81.57966262867838
ABX.TO,Barrick Mining,72.05751074680259,63.57475498519289,65.69544392559531,72.05751074680259,63.57475498519289,False,0,15.0,17.58703,1.757,,17.58703,24.655502,1.3465336835797692,0.0,4.196000000000001,0.0,3.5000000000000004,15.0,63.57475498519289,1.3465336835797692,0.0,4.196000000000001,0.0,3.5000000000000004,15.0,80.69544392559531
MAZE,Maze Therapeutics,83.63498281612956,56.801432102494964,78.50981978090361,83.63498281612956,56.801432102494964,False,0,0.0,,1.520151371807001,,,,3.6803494097676483,0.0,3.6804,0.0,-4.728469182147664,0.0,56.801432102494964,3.6803494097676483,0.0,3.6804,0.0,-4.728469182147664,0.0,78.50981978090361
ATZ.TO,Aritzia,87.2430602842029,57.62892837982409,80.0324613559188,87.2430602842029,57.62892837982409,False,0,-2.0,43.962654,2.5,,43.962654,43.42213,1.5353559518130846,0.0,3.2484,0.0,1.685624714285714,-2.0,57.62892837982409,1.5353559518130846,0.0,3.2484,0.0,1.685624714285714,-2.0,78.0324613559188
REAL,RealReal,79.805522312572,56.169075738291994,77.078187381862,79.805522312572,56.169075738291994,False,0,0.0,,0.175,,,,2.3642804703235676,0.0,3.4424,0.0,-0.7194839719426374,0.0,56.169075738291994,2.3642804703235676,0.0,3.4424,0.0,-0.7194839719426374,0.0,77.078187381862
ZBIO,Zenas Biopharma,84.19351148940436,53.52108779002571,76.18919371487037,84.19351148940436,53.52108779002571,False,0,0.0,2.540809,-3.228746902273462,,2.540809,,4.60874779625537,0.0,4.7268,0.0,-10.968313331524282,0.0,53.52108779002571,4.60874779625537,0.0,4.7268,0.0,-10.968313331524282,0.0,76.18919371487037
INCY,Incyte,40.13206650323416,54.29225867838079,50.752210634594135,40.13206650323416,54.29225867838079,False,0,25.0,17.298304,2.907,0.1324,17.298304,16.62215,0.9544654556300558,0.0,4.3898,0.0,3.5000000000000004,25.0,54.29225867838079,0.9544654556300558,0.0,4.3898,0.0,3.5000000000000004,25.0,75.75221063459414
AXTI,AXT,73.53999999999999,76.4812360865467,75.74592706491003,73.53999999999999,76.4812360865467,False,0,0.0,,0.182,,,,5.381559784616639,0.0,3.6712000000000002,0.0,-0.5,0.0,76.4812360865467,5.381559784616639,0.0,3.6712000000000002,0.0,-0.5,0.0,75.74592706491003
CG.TO,Centerra Gold,43.3975689479816,48.98055212161908,47.58480632820971,43.3975689479816,48.98055212161908,False,0,27.0,7.207049,9.906,0.7275438118312133,7.207049,19.95122,0.4064000844118667,0.0,4.3702,0.0,2.5846559354936396,27.0,48.98055212161908,0.4064000844118667,0.0,4.3702,0.0,2.5846559354936396,27.0,74.58480632820971
