ticker,company,score,tier,ATRpct,AVWAP252,EMA20,EMA200,EMA50,EMA50_slope_5d,MACD_hist,RSI14,SMA20,SMA200,SMA50,avg_dollar_vol_20d,avg_vol_20d,d20,d5,dist_to_52w_low,drawdown_pct,is_20d_high,liq_tier,price,r120,r60,vol_vs20,vsEMA200,vsEMA50,vsSMA20,vsSMA200,vsSMA50
BNL,Broadstone Net Lease,11.0444,small,1.56,16.12,16.728960353001494,16.102746336943895,16.34919036459989,1.1011843505089658,0.09,79,16.63,15.89,16.23,27841066.33,1566305.0,11.93,5.93,22.96,-1.02,True,small,17.77,9.35,14.85,84.99,10.353846655529741,8.690397528653882,6.9,11.83,9.51
GOFPY,OPAP,11.0380,small,1.71,9.77,11.484965634670813,10.067686575821234,11.291694282613234,0.5804300382171057,0.006,55,11.41,9.62,11.33,657688.09,57340.0,3.52,-1.38,53.83,-2.96,False,small,11.47,32.63,-2.63,-89.72,13.928854594526129,1.5790873621270407,0.52,19.28,1.25
MTZ,MasTec,11.0108,large,3.24,139.68,178.0664767915058,148.85558111442637,172.67827255775612,0.36028140737514036,-1.565,50,180.93,146.43,174.47,188748055.24,1085289.0,-6.59,-2.19,78.81,-8.4,False,large,173.91,36.22,12.06,-52.89,16.831360099500813,0.7133077161354473,-3.88,18.77,-0.32
TFSL,TFS Financial,11.0104,small,1.13,12.55,13.01087680790479,12.71695893444974,12.943760947355726,0.3662378061579208,0.048,68,12.92,12.67,12.96,4269285.97,322575.0,4.29,1.5,16.37,-2.87,True,small,13.23,4.53,2.06,-30.09,4.034306222067374,2.2114055861233384,2.46,4.49,2.13
NPB,Northpointe Bancshares,10.9699,small,2.6,14.16,15.616788528078375,,14.920048139571747,2.298664256628302,0.128,78,15.39,,14.67,2702226.41,163672.0,13.24,1.98,40.74,-0.66,False,small,16.51,14.84,22.14,-68.69,,10.656479426573018,7.27,nan,12.55
VTMX,Corp Inmobiliaria Vesta,10.9698,small,1.53,25.6,28.031472230767353,26.475870884804145,27.491319868194136,0.6893624779495733,-0.05,52,28.15,25.61,27.23,2150223.9,76493.0,5.52,-1.4,31.06,-4.61,False,small,28.11,22.89,-2.78,-81.35,6.172144902450638,2.2504562704595443,-0.13,9.76,3.24
AII,American Integrity Insurance Group,10.9367,small,4.83,17.21,18.105927239425434,,17.76627917956098,0.8287548081835849,-0.018,46,18.13,,17.69,1076219.78,59345.0,4.65,-4.9,13.34,-4.9,False,small,18.14,,7.95,-35.13,,2.103540176656482,0.03,nan,2.53
NNN,NNN REIT,10.9341,small,1.69,41.22,41.78966573869767,41.388916671195275,41.79584239955111,-0.0776989925705962,0.052,51,41.73,40.59,42.12,61328706.18,1453287.0,0.16,2.13,15.95,-9.59,False,small,42.2,1.4,4.06,-66.23,1.9596631031640444,0.9669803914593045,1.12,3.96,0.2
PLAB,Photronics,10.9198,small,2.81,21.35,20.52145301108448,20.926421803795698,20.012467706076887,0.9627222698525228,0.007,61,20.57,21.3,19.75,11053676.29,528126.0,6.14,1.06,25.25,-25.41,False,small,20.93,5.23,23.55,-65.08,0.01709893950265773,4.584803370573343,1.73,-1.72,5.98
WMG,Warner Music,10.9115,small,2.19,30.31,31.261413122627182,29.708426662129853,30.09358732159078,1.6940738428666613,0.109,93,30.9,30.27,29.48,80051515.12,2459340.0,5.11,0.65,26.46,-8.71,True,small,32.55,-0.76,24.49,-17.96,9.564873193006807,8.162578466166636,5.33,7.52,10.4
ANPDY,ANTA Sports Products,10.9022,small,1.74,269.71,297.0219425524874,280.08670115038785,294.4514726845973,1.032447301339423,3.711,79,293.04,279.32,294.15,211210.76,662.0,10.52,8.73,53.95,-7.36,True,small,319.17,13.6,5.34,-79.6,13.954000203896522,8.394771162133075,8.92,14.27,8.5
FTII,FutureTech II Acquisition Corp,10.8992,small,1.25,11.2,12.20023562428631,11.616262964470522,11.990700461856665,0.5744730755387506,-0.015,54,12.2,11.56,11.93,21217.5,1725.0,4.41,0.0,12.84,-2.77,False,small,12.3,4.41,5.13,-100.0,5.886032690726406,2.5794951606642247,0.82,6.39,3.14
BMO.TO,Bank of Montreal,10.8896,large,0.75,133.65,155.42678193693115,139.8114609192835,151.94097431283393,0.6795343679804944,-0.119,73,155.31,139.63,151.89,457158085.19,2917596.0,1.71,-0.01,48.59,-0.68,False,large,156.69,8.68,7.65,-86.71,12.072357280109447,3.125572748657124,0.89,12.22,3.16
CYGIY,CyberAgent,10.8748,small,0.0,3.74,5.193354667568497,4.280259640598644,5.040801157276534,0.748832821128409,-0.015,0,5.22,4.05,5.06,78.15,15.0,0.19,0.0,68.31,-0.76,False,small,5.21,41.58,8.32,-100.0,21.721587881788416,3.3565863330915713,-0.13,28.55,2.87
CC,Chemours,10.8373,small,6.11,14.05,13.583138876969832,14.395219720468065,12.958005545913137,2.9122408994430193,0.171,69,13.24,14.66,12.74,62541476.68,4407433.0,0.73,-2.94,51.84,-33.32,False,small,14.19,3.81,42.59,-63.78,-1.4256101987541792,9.50759319959873,7.21,-3.2,11.35
DIE.BR,D'ieteren,10.8306,small,1.24,176.28,183.14751100980644,178.21618494899593,180.31390290233867,0.9388330208553564,0.961,90,181.12,172.12,180.1,5660510.8,30109.0,5.32,0.32,29.22,-16.06,False,small,188.0,21.83,4.86,-26.45,5.489857755514249,4.2626203381689765,3.8,9.22,4.39
OZK,Bank,10.8199,small,1.99,44.67,49.5445340229983,46.1004147372683,48.74526492236678,0.43329487423517943,0.053,63,49.32,45.97,49.0,45316640.52,908331.0,-3.13,1.16,35.43,-5.3,False,small,49.89,8.06,13.08,-77.44,8.220284533943989,2.348402618092993,1.16,8.54,1.81
RYN,Rayonier,10.8131,small,1.75,25.51,25.473366601830058,25.088390410520493,24.55976198451333,1.7720192923021072,0.116,82,25.14,25.34,23.95,28151340.39,1057129.0,10.41,1.18,20.39,-9.83,False,small,26.63,0.07,15.19,-64.09,6.144713009699698,8.429389571414013,5.93,5.1,11.2
ESAIY,Eisai,10.8054,small,2.64,7.27,7.51770651798731,7.400154285198903,7.220331744953033,2.1707443189584064,0.043,69,7.45,7.04,7.09,603728.02,77600.0,10.51,-1.39,29.02,-24.83,False,small,7.78,13.18,15.62,-99.87,5.132943181479721,7.751281725222281,4.37,10.46,9.71
BRC,Brady,10.8018,small,1.47,71.54,71.64174161270941,70.7402383858291,70.57798400384922,0.7726654728306581,0.201,69,71.46,71.26,69.69,9378050.0,127160.0,5.25,1.98,15.49,-2.97,True,small,73.75,5.43,5.68,-58.79,4.2546670506751205,4.494342025946474,3.21,3.5,5.82
